Date,Activity,Significance,Mood,Notes
10/27,CMPM 35 Lecture,Neat,Neutral,Stressed thinking about everything else I have to do
10/27,Setting up spreadsheet,Small,Neutral,Something I actually got done
10/27,Voted,Medium-Small,Neutral,
10/27,Helped mom out with loan,Neat,Neutral,
10/27,Turned in my CMPM assignment early!,Medium,Happy,
10/28,Made breakfast,Small,Neutral,
10/28,Woke up before 9,Small,Happy,
10/28,Made breakfast,Neat,Neutral,
10/28,Got up to date with Econ,Medium,Neutral,
10/28,Therapy breakthrough,Large,Elated,
10/29,Caught up on Econ,Medium-Small,Happy,
10/29,Woke up on time!,Neat,Neutral,
10/29,Attended WRIT 2,Medium,Negative,
10/29,Convo with lisa,Small,Happy,
10/29,Looked at the full moon,Neat,Happy,
10/30,Woke up on time,Neat,Negative,
10/30,Attended TA section,Medium-Small,Happy,
10/30,Made some tasty coffee,Neat,Happy,
10/30,Bugeted Stuff,Medium-Large,Neutral,
10/31,Watched Steven Universe,Small,Happy,
10/31,Stayed in bed all day,Medium-Small,Neutral,
10/31,made my mom a cool card,Medium,Happy,
10/31,went to the grocery store,Small,Neutral,
10/31,trick or treaters,Neat,Neutral,
10/31,mama bday + thai food!,Small,Neutral,
11/1,woke up early,Medium-Small,Neutral,
11/1,Made breakfast + did dishes,Small,Negative,wish i coulda been doing econ
11/1,started econ early,Neat,Neutral,
11/1,FINISHED ECON EARLY!!!!,Medium-Large,Elated,
11/1,Played DND Wit Friends!,Medium,Neutral,
11/1,Went for a walk,Small,Neutral,
11/1,Made mac and cheese while listening to cgp grey,Medium-Small,Neutral,
11/1,Watched Castle in the Sky,Medium-Small,Happy,
11/2,Relaxed for much longer than I would have liked to,Neat,Negative,
11/2,Went for a Walk,Small,Negative,Stressful day today. not the best :|
